,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price,Property_type,Location
518,3.0,3.0,4.0,yes,no,yes,450000000.0,apartment,Eti-Osa
519,4.0,5.0,5.0,yes,no,yes,65000000.0,house,Eti-Osa
520,4.0,5.0,5.0,yes,yes,no,700000000.0,house,Eti-Osa
521,4.0,5.0,5.0,yes,no,yes,140000000.0,house,Eti-Osa
522,2.0,3.0,3.0,yes,no,no,62000000.0,house,Eti-Osa
523,5.0,6.0,6.0,yes,yes,no,110000000.0,house,Eti-Osa
524,4.0,5.0,5.0,yes,yes,no,350000000.0,house,Eti-Osa
525,10.0,0.0,0.0,no,no,no,50000000.0,house,Ikeja
526,4.0,5.0,5.0,yes,no,no,200000000.0,house,Ikeja
527,4.0,5.0,5.0,yes,yes,no,120000000.0,house,Eti-Osa
528,5.0,6.0,6.0,yes,yes,no,135000000.0,house,Eti-Osa
529,5.0,5.0,6.0,yes,yes,no,430000000.0,house,Eti-Osa
530,5.0,6.0,6.0,yes,yes,no,350000000.0,house,Eti-Osa
531,5.0,5.0,6.0,yes,yes,no,120000000.0,house,Eti-Osa
532,4.0,4.0,5.0,yes,no,no,80000000.0,house,Eti-Osa
533,5.0,6.0,6.0,yes,yes,no,450000000.0,house,Eti-Osa
534,2.0,3.0,3.0,yes,yes,yes,38000000.0,house,Eti-Osa
535,3.0,4.0,4.0,yes,no,yes,70000000.0,house,Eti-Osa
536,4.0,5.0,5.0,yes,yes,no,52000000.0,house,Eti-Osa
537,4.0,5.0,5.0,yes,yes,no,200000000.0,house,Eti-Osa
538,5.0,6.0,6.0,yes,yes,no,350000000.0,house,Eti-Osa
539,4.0,5.0,5.0,yes,yes,no,65000000.0,house,Eti-Osa
540,4.0,5.0,5.0,yes,no,no,85000000.0,house,Eti-Osa
541,4.0,5.0,5.0,yes,yes,no,125000000.0,house,Eti-Osa
542,6.0,7.0,7.0,yes,no,no,500000000.0,house,Eti-Osa
543,6.0,6.0,6.0,yes,no,yes,750000000.0,house,Eti-Osa
