Description,Title,Location,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,1,1,65000000
Finished 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,120000000
Serviced 2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,2.0,2.0,3.0,1,0,1,50000000
Beautiful 4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,120000000
5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,1,800000000
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Lekki Lagos,3.0,3.0,4.0,1,0,1,200000000
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,320000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,130000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,4.0,4.0,5.0,1,0,0,600000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,0,0,75000000
4 Bedroom Semi Detached [email protected] Lekki Gardens.,4 BEDROOM HOUSE FOR SALE,Lekki Gardens Estate Ajah Lagos,4.0,4.0,4.0,1,0,1,65000000
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,"Lagos Business School, Lekki Gardens Estate Ajah Lagos",3.0,3.0,4.0,0,0,0,30000000
4 Bedroom Semi Detached Duplex Ikate Lekki.,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,130000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,4.0,4.0,5.0,1,0,0,165000000
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Vi Beside Queenspark Event Centre Oniru Victoria Island Lagos,2.0,2.0,3.0,1,0,0,79990000
3 Bedroom Apartment,4 BEDROOM HOUSE FOR SALE,Akin Adesola Victoria Island Lagos,4.0,4.0,5.0,1,0,0,250000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,"Aggrey Road, Yabatech G.r.a, Fola Agoro Yaba Lagos",4.0,5.0,5.0,0,1,0,120000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Ikate Lekki Lagos,3.0,3.0,3.0,1,1,1,75000000
4 Bedroom Maisonette,4 BEDROOM HOUSE FOR SALE,Old Ikoyi Ikoyi Lagos,4.0,4.0,5.0,1,0,1,450000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,220000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,100000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,1,700000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,5.0,6.0,1,0,1,75000000
Luxury 4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,95000000
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Road Chevron Lekki Lagos,4.0,4.0,5.0,1,0,0,120000000
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,2.0,2.0,3.0,1,0,0,42000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Megamound Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,220000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,4.0,5.0,1,0,1,180000000
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Lekki Lagos,4.0,4.0,5.0,1,0,1,62000000
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Oniru Victoria Island Lagos,4.0,4.0,5.0,1,0,1,260000000
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,4.0,5.0,1,0,1,210000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,100000000
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Oniru Victoria Island Lagos,3.0,3.0,4.0,1,0,1,145000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,58000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,50000000
Finished 6 Bedroom Detached Duplex,6 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,6.0,6.0,7.0,1,0,1,400000000
Furnished 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Pinnock Beach Estate Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,695000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,5.0,5.0,6.0,1,0,1,480000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,4.0,5.0,1,0,1,95000000
Contemporary Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Banana Island Road Banana Island Ikoyi Lagos,5.0,5.0,6.0,1,0,1,840000000
Contemporary Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,5.0,5.0,6.0,1,0,1,280000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,400000000
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,1,0,1,195000000
Contemporary Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Megamound Estate Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,200000000
Beautiful Luxury 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,80000000
Contemporary Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,5.0,6.0,1,0,1,160000000
Beautiful Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,350000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,155000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,4.0,5.0,1,1,0,200000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,4.0,5.0,1,0,1,130000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,4.0,5.0,1,0,1,80000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,0,1,105000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Old Ikoyi Ikoyi Lagos,5.0,5.0,6.0,1,0,1,1200000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,390000000
Luxury 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,4.0,5.0,1,0,1,90000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,4.0,4.0,5.0,1,0,1,80000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,4.0,5.0,1,0,1,75000000
Beautiful 2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Oniru Victoria Island Lagos,2.0,2.0,3.0,1,0,1,80000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,95000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,215000000
Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,400000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,440000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,0,1,95000000
Tastefully Finished 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,5.0,6.0,1,0,1,200000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,385000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Jacob Mews Estate Alagomeji Yaba Lagos,4.0,4.0,5.0,0,0,1,105000000
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,0,58000000
5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ikoyi Lagos,5.0,5.0,7.0,1,0,0,$1700000000
Luxury 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,120000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,128000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,185000000
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,0,1,130000000
Finished 6 Bedroom Detached Duplex,6 BEDROOM HOUSE FOR SALE,Megamound Ikota Lekki Lagos,6.0,6.0,7.0,1,0,1,275000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,450000000
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,135000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Adeniyi Jones Ikeja Lagos,4.0,4.0,5.0,1,0,1,120000000
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,200000000
Luxury 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,0,1,95000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,560000000
2 Bedroom Maisonette,2 BEDROOM HOUSE FOR SALE,Lekki Lagos,2.0,2.0,3.0,1,0,1,90000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,170000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,4.0,5.0,1,0,1,85000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,350000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,180000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,135000000
2 Bedroom Apartment,2 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,2.0,2.0,3.0,1,0,1,47000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,150000000
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Osborne Foreshore Estate Ikoyi Lagos,3.0,3.0,4.0,1,0,1,180000000
Fully Serviced 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,4.0,4.0,1,0,0,75000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,4.0,5.0,1,0,1,120000000
Beautiful Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,5.0,6.0,1,0,1,110000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Omole Phase 1 Ojodu Lagos,5.0,5.0,6.0,1,0,1,550000000
Beautiful Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,1,345000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,4.0,5.0,1,0,1,75000000
Beautiful Luxury 4 Bedroom Terrace Duplex With Swimming,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,140000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Thomas Estate Ajah Lagos,4.0,4.0,5.0,0,0,0,55000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,115000000
3 Bedroom Flat,HOUSE FOR SALE,Millenuim Ups Gbagada Lagos,0.0,0.0,0.0,1,0,1,80000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,5.0,5.0,6.0,1,0,0,1500000000
Block Of Flat,HOUSE FOR SALE,Ketu Kosofe Ikosi Lagos,0.0,0.0,0.0,0,0,0,130000000
Serviced 3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SALE,Off Gerard Ikoyi Lagos,3.0,3.0,4.0,1,0,1,450000000
Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,185000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,5.0,6.0,1,0,1,130000000
4 Bedroom Maisonette,4 BEDROOM HOUSE FOR SALE,Osborne Foreshore Estate Ikoyi Lagos,4.0,4.0,5.0,1,0,1,170000000
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Lekki Lagos,3.0,3.0,4.0,1,0,0,43000000
Newly Built 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,5.0,5.0,6.0,1,0,0,900000000
4 Bedroom Penthouse,4 BEDROOM FLAT / APARTMENT FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,0,0,1,85000000
Furnished 5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,"Lekki Phase 1, Lekki Phase 1 Lekki Lagos",5.0,5.0,6.0,1,1,0,400000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,5.0,5.0,6.0,1,0,0,1700000000
Spacious 5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,5.0,5.0,6.0,1,0,0,650000000
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Opebi Ikeja Lagos,4.0,4.0,5.0,1,1,1,130000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,4.0,5.0,0,0,0,135000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,4.0,4.0,5.0,1,0,0,70000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,0,187000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Thomas Estate Ajah Lekki Lagos,4.0,4.0,5.0,1,0,0,58000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Fola Agoro Yaba Lagos,4.0,5.0,5.0,0,1,0,150000000
4 Bedroom Apartment,5 BEDROOM HOUSE FOR SALE,"Chibo Ofordili Street, Off Ladipo Latinwo Crescent Lekki Phase 1 Lekki Lagos",5.0,5.0,6.0,0,0,0,105287000
3 Bedroom Apartment,4 BEDROOM HOUSE FOR SALE,Kusenla Drive Ikate Elegushi Ikate Lekki Lagos,4.0,4.0,5.0,1,0,0,47990000
Beautiful Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,4.0,5.0,1,0,1,55000000
Affordable 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR SALE,Lekki Phase 2 Lekki Lagos,3.0,3.0,4.0,0,0,1,38000000
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,0,0,210000000
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,0,0,160000000
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,4.0,5.0,1,0,0,65000000
4 Bedroom Semi Duplex House,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,4.0,5.0,1,0,0,60000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,4.0,5.0,1,0,0,80000000
Luxury 4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,57500000
Luxury 3 Bedroom Terrace Duplex With Bq,3 BEDROOM HOUSE FOR SALE,Omole Phase 1 Ojodu Lagos,3.0,3.0,4.0,1,0,1,195000000
3 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SALE,Freedom Way Lekki Lagos,4.0,4.0,5.0,1,0,0,80000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Lekki Lagos,4.0,4.0,5.0,1,0,1,80000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,0,1,95000000
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,3.0,3.0,4.0,1,0,0,48000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Vgc Lekki Lagos,4.0,5.0,0.0,1,0,0,120000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,4.0,1,0,0,105000000
Newly Built 3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Victoria Island Lagos,3.0,3.0,3.0,1,0,0,150000000
Luxury 5 Bedroom Fully Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,118000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,0,1,120000000
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,1,450000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,0,1,125000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,4.0,5.0,1,0,1,120000000
Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Royal Garden Estate Ajah Lagos,5.0,5.0,6.0,1,0,1,450000000
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Lekki Lagos,4.0,4.0,5.0,1,0,1,65000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,0,1,95000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,0,1,160000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,0,1,120000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,5.0,5.0,6.0,1,0,1,180000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,75000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,80000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,0,1,250000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,108000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,4.0,5.0,1,0,1,114000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,1,195000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,90000000
Luxury 4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,4.0,5.0,1,0,1,130000000
Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Chevron Toll Gate Lekki Lagos,5.0,5.0,6.0,1,0,1,330000000
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SALE,Ologolo Lekki Lagos,2.0,3.0,3.0,1,0,1,45000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,110000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,0,0,0,75000000
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,5.0,6.0,1,0,1,413000000
Luxury 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,4.0,5.0,1,0,1,120000000
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,4.0,4.0,5.0,1,0,1,240000000
Luxury 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,750000000
4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,120000000
Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,340000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Old Ikoyi Ikoyi Lagos,5.0,5.0,6.0,1,0,1,1200000000
Tastefully Finished 4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ikeja Gra Ikeja Lagos,4.0,4.0,5.0,1,0,1,250000000
Luxurious 5 Bedroom Detached Duplex With Swimming,5 BEDROOM HOUSE FOR SALE,Royal Garden Estate Ajah Lagos,5.0,5.0,6.0,1,0,1,500000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,390000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,450000000
Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Royal Garden Estate Ajah Lagos,5.0,5.0,6.0,1,0,1,320000000
3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Osborne Foreshore Estate Ikoyi Lagos,3.0,3.0,4.0,1,0,1,150000000
Luxury 4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ajah Lagos,4.0,4.0,5.0,1,0,1,65000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,5.0,6.0,1,0,1,100000000
Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,5.0,5.0,6.0,1,0,1,180000000
Luxury 4 Bedroom Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ikeja Gra Ikeja Lagos,4.0,4.0,5.0,1,0,1,250000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,170000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,4.0,5.0,1,0,1,75000000
Luxury 3 Bedroom Apartment,3 BEDROOM HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,3.0,3.0,4.0,1,0,1,155000000
Luxury 5 Bedroom Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,5.0,6.0,1,0,1,460000000
Luxury 4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Banana Island Ikoyi Lagos,4.0,4.0,5.0,1,0,1,550000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,4.0,5.0,1,0,1,115000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,4.0,5.0,1,0,1,70000000
Beautiful Luxury 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Agungi Lekki Lagos,4.0,4.0,5.0,1,0,1,90000000
Beautiful Luxury 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Ologolo Lekki Lagos,4.0,4.0,5.0,1,0,1,87000000
4 Bedroom Maisonette,HOUSE FOR SALE,2nd Avenue Extension Ikoyi Lagos,0.0,0.0,0.0,0,0,0,450000000
