Description,Title,Location,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Ifako Gbagada Gbagada Lagos,4.0,0.0,0.0,0,0,0,60000000
2 Numbers Of 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Santos Estate Aguda Surulere Lagos,4.0,0.0,0.0,0,0,0,85000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikota Lekki Lagos,4.0,5.0,5.0,1,0,1,60000000
4numbers Of 3 Bedrooms Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Aladelola Area Ikosi Ketu Kosofe Ikosi Lagos,3.0,0.0,0.0,0,0,0,100000000
Studio Apartment,1 BEDROOM FLAT / APARTMENT FOR SALE,Akoka Yaba Lagos,1.0,0.0,0.0,0,0,0,9000000
Detached Bungalow,HOUSE FOR SALE,Alagomeji Yaba Lagos,0.0,0.0,0.0,0,0,0,130000000
6 Bedroom Duplex,6 BEDROOM HOUSE FOR SALE,Alagbado Abule Egba Lagos,6.0,0.0,0.0,0,0,0,38000000
4 Bedroom Dettached Duplex,4 BEDROOM HOUSE FOR SALE,Medina Gbagada Lagos,4.0,0.0,0.0,0,0,0,120000000
5 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Gardens Estate Ajah Lagos,4.0,0.0,0.0,0,0,0,49000000
4 Units 2 Bedroom Flat,10 BEDROOM HOUSE FOR SALE,Ayobo Ipaja Lagos,10.0,0.0,0.0,0,0,0,45000000
Newly Built 3 Bedroom Semi Detached Duplex,3 BEDROOM HOUSE FOR SALE,Goodwill Estate Ojodu Lagos,3.0,0.0,0.0,0,0,0,36000000
Brand New 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Lekki Lagos,4.0,0.0,0.0,0,0,0,60000000
Well Built 3 Bedroom Bungalow,3 BEDROOM HOUSE FOR SALE,Egbeda Alimosho Lagos,3.0,0.0,0.0,0,0,0,33000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Orchid Lekki Lagos,4.0,0.0,0.0,0,0,0,100000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,5.0,0.0,0.0,0,0,0,450000000
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SALE,Ikate Lekki Lagos,3.0,0.0,0.0,0,0,0,90000000
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SALE,Ilasan Lekki Lagos,2.0,0.0,0.0,0,0,0,40000000
2 Units Of 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Oral Estate Lekki Lagos,5.0,0.0,0.0,0,0,0,90000000
Block Of 4 Flats,HOUSE FOR SALE,Fafunwa Bus Stop Ipaja Lagos,0.0,0.0,0.0,0,0,0,25000000
2 Numbers Of 2 Bedroom Flat,2 BEDROOM HOUSE FOR SALE,"Shagari Estate, Ipaja Road Alimosho Lagos",2.0,3.0,3.0,0,0,0,45000000
Solid 6 Units Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,"Victor Bamiro Str, Alapere Kosofe Ikosi Lagos",3.0,0.0,0.0,0,0,0,70000000
2 Numbers Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,"Jibowu Estate, U Turn Abule Egba Lagos",3.0,0.0,0.0,0,0,0,40000000
Spacious 5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,5.0,0.0,0.0,0,0,0,120000000
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,5.0,0.0,0.0,0,0,0,100000000
6 Flats Of 2 Bedrooms,2 BEDROOM HOUSE FOR SALE,Off Alaka Street Behind Yabatech Road Yaba Lagos,2.0,2.0,2.0,0,0,0,100000000
2units Of 4 Bedroom Flat,4 BEDROOM HOUSE FOR SALE,Agric Ikorodu Lagos,4.0,0.0,0.0,0,0,0,40000000
4 Flats Of 2 Bedroom,2 BEDROOM HOUSE FOR SALE,Ikotun Egbe Ile Iwe Alimosho Lagos,2.0,3.0,3.0,0,0,0,38000000
5 Bedroom Duplex,5 BEDROOM HOUSE FOR SALE,Itamaga Area Ikorodu Lagos,5.0,0.0,0.0,0,0,0,25000000
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,"Ogba Road, Close To Guiness Ogba Lagos",4.0,0.0,0.0,0,0,0,45000000
Standard Mini Flat,1 BEDROOM HOUSE FOR SALE,Ikotun Ikotun Igando Lagos,1.0,0.0,2.0,0,0,0,500000
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SALE,"Elepe, Along Ijede Road, Ijede Ikorodu Lagos",3.0,0.0,0.0,0,0,0,30000000
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SALE,Back Of Excellence Hotel Ogba Lagos,2.0,0.0,0.0,0,0,0,45000000
Block Of 6 Flats,2 BEDROOM HOUSE FOR SALE,"Itanlaye, Ologunfe Bus Stop Ikotun Igando Lagos",2.0,0.0,0.0,0,0,0,22000000
2 Units Of 4 Bedrom Semi Detached Duplex,8 BEDROOM HOUSE FOR SALE,Oguntona Crescent Gbagada Lagos,8.0,0.0,0.0,0,0,0,350000000
"1, 2, 3 Bedroom Flat",3 BEDROOM FLAT / APARTMENT FOR SALE,Ikoyi Lagos,3.0,0.0,0.0,0,0,0,200000000
2units Of 3 Bedroom Flat,6 BEDROOM HOUSE FOR SALE,Millenuim Ups Gbagada Lagos,6.0,0.0,0.0,0,0,0,70000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Adeniran Ogunsanya Surulere Lagos,4.0,0.0,0.0,0,0,0,90000000
8 Numbers Of 3 Bedroom Flats,3 BEDROOM HOUSE FOR SALE,Ikorodu Lagos,3.0,2.0,2.0,0,0,0,100000000
Finished 4 Bedroom Detached Bungalow,4 BEDROOM HOUSE FOR SALE,Ijede Ikorodu Lagos,4.0,0.0,0.0,0,0,0,22000000
2 Bedroom Flat,2 BEDROOM HOUSE FOR SALE,Obadore Ikotun Igando Lagos,2.0,0.0,0.0,0,0,0,19000000
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SALE,Oniru Victoria Island Lagos,3.0,0.0,0.0,0,0,0,90000000
4 Numbers Of 2 Bedroom Flats,2 BEDROOM HOUSE FOR SALE,Ekoro Road Abule Egba Alimosho Lagos,2.0,0.0,0.0,0,0,0,35000000
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SALE,Ikorodu Lagos,4.0,0.0,0.0,0,0,0,25000000
3 Bedroom Bungalow,3 BEDROOM HOUSE FOR SALE,Oko Oba Agege Lagos,3.0,3.0,4.0,0,0,0,28000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Iju Agege Lagos,4.0,0.0,0.0,0,0,0,35000000
4 Bedroom Detached House,4 BEDROOM HOUSE FOR SALE,Ifako Gbagada Gbagada Lagos,4.0,0.0,0.0,0,0,0,200000000
Brand New 5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR SALE,Estate Off College Road Ogba Lagos,5.0,0.0,0.0,0,0,0,100000000
6 Numbers Of 2 Bedroom Flats,2 BEDROOM HOUSE FOR SALE,Ikotun Lgando Road Unity Bus Stop Ikotun Igando Lagos,2.0,0.0,0.0,0,0,0,40000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Egbeda Alimosho Lagos,4.0,4.0,4.0,0,0,0,42000000
3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,"Freedom Estate, Ayobo Ipaja Lagos",3.0,0.0,0.0,0,0,0,60000000
Fully Finished 4 Bedroom Bungalow,4 BEDROOM HOUSE FOR SALE,Ayobo Ipaja Lagos,4.0,0.0,0.0,0,0,0,18000000
4 Bedroom Bungalow,4 BEDROOM HOUSE FOR SALE,Lanre Bus Stop Igando Alimosho Lagos,4.0,4.0,4.0,0,0,0,30000000
